2025-07-04 01:33:48,514 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:50,720 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:55,943 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:33:59,699 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:08,094 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:15,158 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:21,196 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:26,628 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:28,983 - sltp - INFO - Market data update received, triggering SL/TP check
2025-07-04 01:34:31,339 - sltp - INFO - Market data update received, triggering SL/TP check
